LAT,LONG,SP_GROUP,AGE,P0,BA,D,H,N,YEAR,FOREST_TYPE,VOLUME
62.1,30.1,1,57,1133.5975,7.577269901,8.832695968,7.063436724,1236.620131,2010,5,30.52835275
62.1,30.1,2,44,1133.5975,28.10020329,25.02082371,18.89169275,571.5001839,2010,2,248.7937371
62.1,30.1,1,51,1133.5975,5.364762193,13.08650531,9.705614936,398.8533306,2010,5,27.61428539
62.1,30.4,2,20,1128.6525,8.694195761,10.6398155,8.893654582,977.8479704,2010,2,40.48111857
62.1,23.7,1,39,1092.16,19.38771897,18.43933426,13.19841453,726.016282,2010,4,128.2978965
62.1,29.6,1,19,1138.7175,15.51282813,9.255787018,7.309762604,2305.549198,2010,3,64.10662751
62.1,29.6,2,42,1138.7175,41.56749399,19.95873998,15.30780637,1328.610623,2010,3,306.8107004
62.1,29.6,2,52,1138.7175,17.2473568,17.65566354,13.67706477,704.4733661,2010,3,115.413684
62.1,30.1,1,127,1133.5975,7,17.93333333,10.76719483,277.1316432,2010,5,38.87850917
62.1,25,2,94,1095.505,33.05834604,29.19216593,21.97107841,493.9222634,2010,3,333.3563274
62.1,25.8,1,126,1108.7525,29.46841279,30.30410375,21.32322303,408.5676485,2010,3,291.940359
62.1,25.3,2,54,1103.05,42.94112652,20.3826957,15.60210362,1316.013398,2010,2,322.2086557
62.1,28.3,4,33,1137.435,8.805545152,15.7921072,13.00375564,449.5584862,2010,2,52.97204062
62.1,28.5,1,94,1170.785,31.1196565,35.52114522,25.13337506,314.0298955,2010,2,354.2321648
62.1,27.1,2,37,1108.2075,16.07945538,12.97214421,10.48714818,1216.628309,2010,3,85.80254991
62.1,27.8,1,63,1117.83,23.1417274,16.39555749,11.86230314,1096.108423,2010,4,140.202358
62.1,27.1,1,21,1108.2075,16.08823717,9.359033789,7.37554009,2338.603245,2010,3,66.93112689
62.2,21.8,2,89,1199.975,40.91678696,20.32866202,15.55972335,1260.648614,2010,3,306.2709563
62.2,21.8,1,38,1199.975,30.80570284,11.89455021,8.97924372,2772.331713,2010,4,149.0927706
62.2,21.8,2,110,1199.975,23.76295415,22.27731002,16.87758476,609.6562795,2010,3,190.6711049
62.2,23,1,108,1076.9,18.65011999,16.75854605,12.07581471,845.5106352,2010,5,114.652437
62.2,22.3,1,25,1109.495,7.330606545,15.82157686,11.44993032,372.8640377,2010,3,43.13433508
